Deal ID	Companies	Year Founded	Employees	Raised to Date	Announced Date	All Industries	Primary Industry Sector	Primary Industry Group	New Investors	Implied EV	Keywords	Verticals	Deal Size	Post Valuation	EBITDA	Valuation/EBITDA	Revenue	Valuation/Revenue	Net Income	Deal Date	Deal Type	Investors	Primary Industry Code	HQ Location	View Company Online
167005-72T	Humio	2016		31.77	18-Feb-2021	"Business/Productivity Software*, Database Software"	Information Technology	Software		349	"data storage center, data visualization system, log management platform, logging aggregation, logging analytics platform, logging data analysis, logging management system"	TMT	370.3	370.3	-12.3	-30.11	7.64	48.45	-12.82	05-Mar-2021	Merger/Acquisition	CrowdStrike Holdings (NAS: CRWD)(George Kurtz)	Business/Productivity Software	"London, United Kingdom"	
180175-87T	Hurel	2006		10.03		"Biotechnology, Discovery Tools (Healthcare)*"	Healthcare	Pharmaceuticals and Biotechnology		2.48	"cell culture, hepatic disease, metabolic test, microfluidic device, microfluidic diagnostic system, tissue cure"	Life Sciences	2.48	2.48						15-Sep-2021	Merger/Acquisition	BICO Group (STO: BICO)	Discovery Tools (Healthcare)	"North Brunswick Township, NJ"	
243059-05T	Hutano Diagnostics	2018		0.16		"Diagnostic Equipment*, Other Healthcare Technology Systems"	Healthcare	Healthcare Devices and Supplies		1.51	"biotechnology data, diagnostic and surveillance platform, disease diagnostics, disease diagnostics and monitoring, disease diagnostics app, health industry, health services"	"HealthTech, Life Sciences"	1.52	1.52					-0.3	01-Sep-2023	Merger/Acquisition	EDX Medical Group (LON: EDX)(Mike Hudson)	Diagnostic Equipment	"Oxford, United Kingdom"	
180112-51T	HUUB (Logistics)	2015	35	8.24		"Automation/Workflow Software, Business/Productivity Software, Logistics*"	Business Products and Services (B2B)	Commercial Services		10	"distribution chain, logistics platform software, logistics service chain, logistics solutions, scm, supply chain management, supply chain management application, supply chain management technology"	"Artificial Intelligence & Machine Learning, Supply Chain Tech"	10	10						01-Sep-2021	Merger/Acquisition	A.P. Moller - Maersk (CSE: MAERSK B)(Vincent Clerc)	Logistics	"Matosinhos, Portugal"	
156630-61T	Huuuge (WAR: HUG)	2014		352.19	31-Aug-2020	"Entertainment Software*, Publishing"	Information Technology	Software			"casino games, gaming content, gaming developer, gaming publisher, gaming studio, online gaming app, online gaming site, social casino games, social gaming, social gaming platform"	Mobile	446.4	1128.8	-74.29	-15.19	332.72	3.39	-82.6	19-Feb-2021	IPO		Entertainment Software	"Dover, DE"	
246808-90T	Hybrid Power Solutions (CNQ: HPSS)	2015		3.81	28-Aug-2023	"Electronic Equipment and Instruments*, Other Equipment"	Information Technology	Computer Hardware			"battery storage, energy storage, hybrid electric system, hybrid power solutions, portable power battery, power systems"	Manufacturing	3.58	12.95	-3.26	-3.97	1.69	7.65	-3.68	01-Dec-2023	IPO		Electronic Equipment and Instruments	"Etobicoke, Canada"	
208699-57T	Hybrid Theory	2010		11.47		"Business/Productivity Software*, Media and Information Services (B2B), Other Software"	Information Technology	Software		7.77	"advertising software, analysis software, audience targeting, audience targeting platform, behavioural intelligence, consumer branding, crm, cross-crm, customer relationship management"	"AdTech, Marketing Tech, TMT"	9.17	9.17	-1.49	-6.14	20.49	0.45	-2.62	10-Nov-2022	Merger/Acquisition	Azerion Group (AMS: AZRN)(Umut Akpinar)	Business/Productivity Software	"London, United Kingdom"	
184552-21T	Hydralyte (ASX: HPC)	2001		12.18	03-Nov-2021	"Other Consumer Non-Durables, Pharmaceuticals*"	Healthcare	Pharmaceuticals and Biotechnology			"clinical hydration, electrolyte powder, electrolyte solutions, electrolyte tablets, hydration drinks, marketing"		12.18	33.45	-6.08	-5.5	6.13	5.46	-8.95	14-Dec-2021	IPO		Pharmaceuticals	"La Jolla, CA"	
329553-19T	Hydrogen Vehicle Systems	2017		73.54		Automotive*	Consumer Products and Services (B2C)	Transportation		0.2	"commercial vehicle, electric vehicle, heavy goods vehicles, hydrogen truck, vehicle systems, zero emission"	"CleanTech, Climate Tech, Manufacturing"	0.2	0.2						06-Oct-2025	Merger/Acquisition	H2 Vehicle Systems	Automotive	"Glasgow, United Kingdom"	
270607-15T	HYDY(San Francisco)	2020		800		"Business/Productivity Software, Media and Information Services (B2B)*"	Business Products and Services (B2B)	Commercial Services		521	"data driven platform, digital brand strategy, digital branding incubator, digital branding marketer, online marketplace platform, online marketplace tools"	Marketing Tech	521	521			400	1.3		29-Aug-2024	Merger/Acquisition	Branded (Berlin)(Pierre Poignant)	Media and Information Services (B2B)	"San Francisco, CA"	
259324-12T	Hype (Business/Productivity Software)	2016		27.14		"Business/Productivity Software*, Media and Information Services (B2B), Other Commercial Services"	Information Technology	Software		0.1	"customer relationship management, digital payment, email marketing, full service devops, pricing planning, readers engagement"	"Marketing Tech, Mobile, SaaS"	0.1	0.1						14-May-2024	Merger/Acquisition	Mixed Martial Arts Group (ASE: MMA)(Nick Langton)	Business/Productivity Software	"Covina, CA"	
176141-08T	Hyperfine (NAS: HYPR)	2014		178.5	08-Jul-2021	Diagnostic Equipment*	Healthcare	Healthcare Devices and Supplies	HealthCor Catalio Acquisition		"healthcare software, imaging equipment, imaging tool, medical devices, medical software, mri scanner, mri system component, mri technology"	"HealthTech, Life Sciences, Manufacturing, TMT"	375	703	-45.17	-15.56	1.27	554.85	-45.63	22-Dec-2021	Reverse Merger	HealthCor Catalio Acquisition(Christopher Gaulin)	Diagnostic Equipment	"Guilford, CT"	
308551-24T	Hyperlume	2022		13.5		"Connectivity Products*, Electronic Components, Fiberoptic Equipment"	Information Technology	Communications and Networking		92.02	"asic semiconductor, connectivity data, data transfer, fiber optics connectivity, optical platform, telecommunication model"	"Artificial Intelligence & Machine Learning, CleanTech"	92.02	92.02						29-Sep-2025	Merger/Acquisition	Credo Technology Group (NAS: CRDO)(William Brennan)	Connectivity Products	"Ottawa, Canada"	
219723-58T	Hypur	2014		6.18		"Financial Software*, Other Financial Services"	Information Technology	Software		7.5	"b2b payment, bank compliance, customer relationship management, digital commerce, enterprise payment, financial platform software, mobile payment system, payment platform, payment service, payment technology"	"FinTech, Mobile, Mobile Commerce"	7.5	7.5						01-Apr-2023	Merger/Acquisition	POSaBIT Systems (CNQ: PBIT)(Ryan Hamlin)	Financial Software	"Phoenix, AZ"	
166361-32T	Hyzon Fuel Cell	2018				"Other Transportation, Road*"	Business Products and Services (B2B)	Commercial Transportation	Decarbonization Plus Acquisition		"bus manufacturer, clean fuel, commercial mobility, commercial mobility solutions, electric vehicle, freight technology, green hydrogen technology, hydrogen, hydrogen cells truck, zero emission"	"CleanTech, Climate Tech, Manufacturing, Mobility Tech, Supply Chain Tech"	550	2472	-10.52	-235.03			-12.14	16-Jul-2021	Reverse Merger	Decarbonization Plus Acquisition(Erik Anderson)	Road	"Bolingbrook, IL"	
174342-43T	i2O Water	2005				"Business/Productivity Software*, Electronic Equipment and Instruments"	Information Technology	Software	Mueller Water Products	19.12	"leakage reduction, network services, pressure control, pressure management, smart network, water monitoring"	"CleanTech, Internet of Things, SaaS, TMT"	19.7	19.7	-1.56	-12.59	2.46	8.02	-1.57	14-Jun-2021	Merger/Acquisition	Mueller Water Products (NYS: MWA)	Business/Productivity Software	"Southampton, United Kingdom"	
200640-97T	iAsesoria	2012				"Accounting, Audit and Tax Services (B2B)*, Consulting Services (B2B), Media and Information Services (B2B)"	Business Products and Services (B2B)	Commercial Services		0.96	"accounting advisory, accounting advisory firm, accounting advisory service, advisory services, consulting firm, consulting services, online consultancy, tax accounting"	Industrials	1.22	1.22	0.18	6.78	1.18	1.03	0.15	31-May-2022	Merger/Acquisition	Club De La Pyme Servicios Globales	"Accounting, Audit and Tax Services (B2B)"	"Madrid, Spain"	
244896-67T	Ibotta (NYS: IBTA)	2012		465.84	05-Nov-2023	"Application Software*, Other Financial Services"	Information Technology	Software			"cash back app, cash back offers, consumer payment, money saving application, money saving platform, rewards application, rewards platform, rewards software"	"E-Commerce, FinTech, Mobile, TMT"	577.34	2661.23	74.54	35.7	344.67	7.72	51.7	18-Apr-2024	IPO		Application Software	"Denver, CO"	
286480-90T	IC'Alps	2018		4.87	27-Feb-2025	Application Specific Semiconductors*	Information Technology	Semiconductors		15.02	"semiconductor, semiconductor chips, semiconductor systems, semiconductor tools, semiconductors chips, semiconductors parts"		16.33	16.33	-2.89	-5.65	10.36	1.58	-2.76	04-Aug-2025	Merger/Acquisition	Sealsq (NAS: LAES)	Application Specific Semiconductors	"Grenoble, France"	
306834-40T	icometrix	2011		24.06	10-Sep-2025	Decision/Risk Analysis*	Healthcare	Healthcare Technology Systems		95.48	"brain health, brain imaging, clinical practice, data analytical tools, disease detection, imaging platform developer, imaging tech, medical imaging technology, neurological clinic, neurological disorder"	"Artificial Intelligence & Machine Learning, Digital Health, HealthTech, Oncology, SaaS"	98	98	-1.83	-53.55			-2.5	07-Nov-2025	Merger/Acquisition	GE HealthCare Technologies (NAS: GEHC)(Roland Rott)	Decision/Risk Analysis	"Leuven, Belgium"	
175986-46T	Icosavax	2017		337.24	07-Jul-2021	"Biotechnology, Drug Discovery*"	Healthcare	Pharmaceuticals and Biotechnology			"biologics, biotech vaccines, vaccine developer, vaccine development, vaccine development platform, vaccines, vlp vaccines"	"HealthTech, Life Sciences"	182	562.65	-23.96	-23.48	0		-24.59	29-Jul-2021	IPO		Drug Discovery	"Seattle, WA"	
247391-83T	Icosavax	2017		405.04	11-Dec-2023	"Biotechnology, Drug Discovery*"	Healthcare	Pharmaceuticals and Biotechnology		1384.65	"biologics, biotech vaccines, vaccine developer, vaccine development, vaccine development platform, vaccines, vlp vaccines"	"HealthTech, Life Sciences"	1141	1613.86	-103.19	-15.64	0		-96.71	19-Feb-2024	Merger/Acquisition	AstraZeneca (LON: AZN)(Iskra Reic)	Drug Discovery	"Seattle, WA"	
286070-68T	ID Quantique	2001			26-Feb-2025	"IT Consulting and Outsourcing, Network Management Software*, Other Communications and Networking"	Information Technology	Software		138.28	"digital asset protection, iot security, iot software, network encryption, photon counting, post-quantum cryptography, quantum keys generation, quantum photonics technology"	"Cybersecurity, Internet of Things, SaaS"	118.92	138.28						30-Apr-2025	Merger/Acquisition	IonQ (NYS: IONQ)(Jordan Shapiro)	Network Management Software	"Geneva, Switzerland"	
173296-36T	ID R&D	2016		5.7		"Application Software, Network Management Software*"	Information Technology	Software		49	"authentication system, authentication technology, biometric authentication, biometric technology, customer onboarding, face biometric recognition, face recognition technology, identity verification, voice biometrics"	"Artificial Intelligence & Machine Learning, Big Data, Mobile, TMT"	49	49						28-May-2021	Merger/Acquisition	Mitek Systems (NAS: MITK)(Max Carnecchia)	Network Management Software	"New York, NY"	
328736-89T	Idelic	2016		38.12		"Business/Productivity Software*, Road"	Information Technology	Software		28	"compliance application, fleet connectivity, fleet management, freight technology, mobility data analytics, predictive analysis platform, risk management, vertical application"	"Artificial Intelligence & Machine Learning, Mobility Tech, SaaS, Supply Chain Tech"	28	28						23-Apr-2026	Merger/Acquisition	Descartes Systems Group (TSE: DSG)(Edward Ryan)	Business/Productivity Software	"Pittsburgh, PA"	
181962-55T	Identified Technologies	2013		4.17		"Electronic Equipment and Instruments, Media and Information Services (B2B)*"	Business Products and Services (B2B)	Commercial Services		4	"commercial drones services, drones & imagery analytics, drones and imagery analytics, drones software, drones tracking, drones tracking system, drones tracking technology"	"Construction Technology, Robotics and Drones, TMT"	4	4						20-Oct-2021	Merger/Acquisition	Alpine 4 Holdings (OTCM: ALPP)(Kent Wilson)	Media and Information Services (B2B)	"Pittsburgh, PA"	
203230-36T	Identify3D	2014		8.15		"Business/Productivity Software*, Database Software"	Information Technology	Software		3.89	"data security technology, digital manufacturing technology, digital supply chain management, software security, software security platform, software security services"	"3D Printing, Advanced Manufacturing, Cybersecurity, Internet of Things, SaaS"	3.89	3.89						01-Sep-2022	Merger/Acquisition	Materialise (BRU: MTLS)	Business/Productivity Software	"San Francisco, CA"	
281666-08T	IDRx	2021		242	08-Jan-2025	"Biotechnology, Drug Discovery*"	Healthcare	Pharmaceuticals and Biotechnology		1103.48	"biopharmaceutical company, cancer medicine, cancer medicine research, clinical care, precision medicine, small molecule, therapies developer, tumors cure"	"HealthTech, Life Sciences, Oncology"	1103.48	1103.48						21-Feb-2025	Merger/Acquisition	GSK (LON: GSK)	Drug Discovery	"Plymouth, MA"	
304905-97T	Ieso	2000		91.13		"Clinics/Outpatient Services*, Other Healthcare Technology Systems"	Healthcare	Healthcare Services		26.86	"artificial intelligence based, behavioral health, cognitive behavioral therapy, delivery service, last mile delivery, mental health therapy, mobility tech, online therapy, psychological therapy"	"Artificial Intelligence & Machine Learning, Digital Health, HealthTech"	26.86	26.86						20-Aug-2025	Merger/Acquisition	Mindler(Erica Larson)	Clinics/Outpatient Services	"Cambridge, United Kingdom"	
324515-62T	Ieva Group (PAR: ALIEV)	2016		75.88	10-Mar-2026	Personal Products*	Consumer Products and Services (B2C)	Consumer Non-Durables			"beauty products, cosmetic goods, cosmetics company, jewelry items, personal care company, skin diagnostics"	"Beauty, E-Commerce, Internet of Things, Mobile"	8.48	146.19	-3.05	-47.86	48.97	2.99	-8.73	26-Mar-2026	IPO		Personal Products	"Paris, France"	
175532-59T	iGenomX	2012		31.14	01-Jun-2021	Discovery Tools (Healthcare)*	Healthcare	Pharmaceuticals and Biotechnology		37.65	"dna sequencing technology, metagenomic analysis, microbiome analysis platform, rna sequencing, sample preparation platform, synthetic biology platform"	Life Sciences	37.65	37.65						14-Jun-2021	Merger/Acquisition	Twist Bioscience (NAS: TWST)(Emily Leproust)	Discovery Tools (Healthcare)	"San Francisco, CA"	
209799-28T	Igloo (Alternative Energy Equipment)	2015	40	27		Alternative Energy Equipment*	Energy	Energy Equipment		2.36	"behavioural data, energy company, energy company operator, energy consumption data, single energy tariff, smart meters data"	CleanTech	2.36	2.36						02-Dec-2022	Merger/Acquisition	Good Energy Group(Nigel Pocklington)	Alternative Energy Equipment	"Southampton, United Kingdom"	
241258-96T	Ignis Technologies	2020		0.7		"Application Software, Business/Productivity Software*, Educational and Training Services (B2C)"	Information Technology	Software		11.56	"enterprise resource planning, erp, fire fighters, fire intelligence, fire intelligence platform, firefighting safety, firefighting service, firefighting training"	Mobile	11.56	11.56						12-Sep-2023	Merger/Acquisition	Bridger Aerospace Group Holdings (NAS: BAER)(Timothy Sheehy)	Business/Productivity Software	"Bozeman, MT"	
215074-90T	Ignium	2019		2.28		"Financial Software, Other Financial Services*"	Financial Services	Other Financial Services		4.33	"alternative capital, blockchain technology, blockchain technology firm, capital market, capital market platform, community building application, digital securities exchange, token issuance platform"	"Cryptocurrency/Blockchain, FinTech"	4.33	4.33						14-Feb-2023	Merger/Acquisition	Coinmetro	Other Financial Services	"Tallinn, Estonia"	
306709-93T	iJoin	2017		3.58		"Financial Software, Other Financial Services*"	Financial Services	Other Financial Services		43.9	"enrollment software, retirement advice, retirement help, retirement planner, retirement planning, retirement savings, wealthtech"	"FinTech, Mobile"	43.9	43.9						09-Sep-2025	Merger/Acquisition	Broadridge Financial Solutions (NYS: BR)	Other Financial Services	"Scottsdale, AZ"	
167932-09T	Ikena Oncology	2016		392.75	05-Mar-2021	"Biotechnology, Drug Discovery*, Pharmaceuticals"	Healthcare	Pharmaceuticals and Biotechnology			"cancer immunotherapy, cancer medication, cancer therapeutics, chemistry, drug discovery, immunology, oncology therapeutic, small molecule"	"Life Sciences, Oncology"	143.75	572.16	-43.96	-13.02	9.19	62.23	-44.26	26-Mar-2021	IPO		Drug Discovery	"Boston, MA"	
269633-80T	IKS Health (NSE: IKS)	2006		17.52	12-Aug-2024	"Hospitals/Inpatient Services*, Other Healthcare Services"	Healthcare	Healthcare Services			"clinical data management, clinical support services, delivering services, healthcare outsourcing, legal process outsourcing, litigation support, receivables cycle, revenue cycle"		295.06	2693.44	77.76	34.64	296.12	9.1	44.82	19-Dec-2024	IPO		Hospitals/Inpatient Services	"Coppell, TX"	
221372-20T	iLearningEngines	2010		31.37	27-Apr-2023	Educational Software*	Information Technology	Software	Arrowroot Acquisition		"cloud-based platform provider, compliance training platform, content services, employee collaboration program, employee training platform, knowledge management system, learning automation platform, vertical application"	"Artificial Intelligence & Machine Learning, Big Data, SaaS"	1300				420.58		-4.41	16-Apr-2024	Reverse Merger	Arrowroot Acquisition	Educational Software	"Bethesda, MD"	
225054-01T	Ilegal Mezcal	2006		2.18		Beverages*	Consumer Products and Services (B2C)	Consumer Non-Durables		130	"alcohol product distributor, alcohol retail, alcoholic drink, hand craft spirits, spirits brewing, spirits company, spirits producer"	E-Commerce	130	130						01-Sep-2023	Merger/Acquisition	Bacardi	Beverages	"New York, NY"	
322882-75T	illumex	2021		18.84		Business/Productivity Software*	Information Technology	Software		60	"ai governance, data fabrics, database management system, enterprise data, enterprise data tool, structured database"	"Artificial Intelligence & Machine Learning, Big Data, SaaS"	60	60						23-Feb-2026	Merger/Acquisition	Nvidia (NAS: NVDA)(Jen-Hsun Huang)	Business/Productivity Software	"New York, NY"	
299772-73T	IllumiCare	2014		11.7		Medical Records Systems*	Healthcare	Healthcare Technology Systems		54.8	"diagnostic support, electronic clinical record, electronic medical information, medical software, medical technology, patient records data"	"Digital Health, HealthTech, SaaS"	54.8	54.8						13-Jun-2025	Merger/Acquisition	Premier(Bruce Radcliff)	Medical Records Systems	"Vestavia, AL"	
178239-70T	Illuria	2018			15-Dec-2021	IT Consulting and Outsourcing*	Information Technology	IT Services		1.05	"cyber deception, cyber fraud, cyber technology, cyber threat, network security, software corporation, threat intelligence, threat intelligence software"	"Cybersecurity, SaaS"	1.05	1.05						20-Dec-2021	Merger/Acquisition	Tevano Systems Holdings (CNQ: TEVO)(David Bajwa)	IT Consulting and Outsourcing	"Wilmington, DE"	
280640-53T	ImageneBio (NAS: IMA)	2016		141	23-Dec-2024	"Biotechnology, Drug Discovery*"	Healthcare	Pharmaceuticals and Biotechnology	Ikena Oncology		"biotechnology research, clinical development, drug development, immune diseases, immunology care, inflammation cure"	"HealthTech, Life Sciences"	100	345.62			4.3	80.38	-21.66	25-Jul-2025	Reverse Merger	Ikena Oncology(Mark Manfredi)	Drug Discovery	"San Diego, CA"	
185572-81T	Imagineoptix	2004		19.99		"Electronic Equipment and Instruments*, Electronics (B2C)"	Information Technology	Computer Hardware		125	"imaging system developer, liquid crystal optics, optics components, optics product, optics technology, optoelectronic product"	"Augmented Reality, TMT, Virtual Reality"	125	125						17-Dec-2021	Merger/Acquisition	Meta Platforms (NAS: META)	Electronic Equipment and Instruments	"Durham, NC"	
175270-33T	Imago BioSciences	2012		294.9	25-Jun-2021	"Biotechnology, Drug Discovery*"	Healthcare	Pharmaceuticals and Biotechnology			"acute myeloid leukemia treatment, chemistry, genetic alterations, genetic patterns, myeloid disease, oncology biopharmaceutical, pharmaceutical, small molecule, treatment for myeloid disease"	"Life Sciences, Oncology"	134.4	513.85	-25.98	-19.78	0		-25.77	09-Jul-2021	IPO		Drug Discovery	"Redwood City, CA"	
208900-09T	Imago BioSciences	2012		314.9	21-Nov-2022	"Biotechnology, Drug Discovery*"	Healthcare	Pharmaceuticals and Biotechnology		1039.19	"acute myeloid leukemia treatment, chemistry, genetic alterations, genetic patterns, myeloid disease, oncology biopharmaceutical, pharmaceutical, small molecule, treatment for myeloid disease"	"Life Sciences, Oncology"	1350	1350	-62.11	-21.74	0		-61.64	11-Jan-2023	Merger/Acquisition	Merck & Co. (NYS: MRK)(Robert Davis)	Drug Discovery	"Redwood City, CA"	
206171-29T	Imara	2016		189.3	13-Oct-2022	"Biotechnology, Drug Discovery*"	Healthcare	Pharmaceuticals and Biotechnology			"biotechnology company operator, disease cure, drug discovery system, novel therapeutic developer, novel therapeutic drug, therapeutics drug developer"	"HealthTech, Life Sciences"	34.5	34.5	1.24	27.73	0		1.58	23-Feb-2023	Merger/Acquisition	Enliven Therapeutics (NAS: ELVN)	Drug Discovery	"Boston, MA"	
310539-88T	ImCheck Therapeutics	2015		189.7	22-Oct-2025	"Biotechnology, Drug Discovery*"	Healthcare	Pharmaceuticals and Biotechnology		1246.42	"cancer cure, cancer treatment, immune checkpoint inhibitors, immunomodulators drugs, immunotherapeutic drugs, inflammatory disease, innate immunity, oncology cure"	"HealthTech, Life Sciences, Oncology"	1246.42	1246.42						15-Dec-2025	Merger/Acquisition	Ipsen (PAR: IPN)(David Loew)	Drug Discovery	"Marseille, France"	
269412-04T	Imeon Energy (PAR: MLIME)	2013		14.41	08-Jul-2024	Alternative Energy Equipment*	Energy	Energy Equipment			"climate tech company, photovoltaic energy sources, photovoltaic inverters, renewable energy, solar battery, solar inverter"	"CleanTech, Climate Tech, Manufacturing"	12.6	12.62	-0.03	-398.51	2.15	5.86	-0.09	09-Aug-2024	IPO		Alternative Energy Equipment	"Brest, France"	
336625-84T	iMerit	2012		24.65	22-Jun-2026	"Business/Productivity Software*, Media and Information Services (B2B)"	Information Technology	Software		310	"analytics platform, data infrastructure, data pipeline technology, data quality tools, generative ai, generative ai tools, model evaluation, training data"	"Artificial Intelligence & Machine Learning, Big Data"	310	310						03-Aug-2026	Merger/Acquisition	ExlService Holdings (NAS: EXLS)(Rohit Kapoor)	Business/Productivity Software	"San Jose, CA"	
212334-40T	Immerok	2022		17.92		"Automation/Workflow Software, Software Development Applications*"	Information Technology	Software		54.9	"cloud services company, cloud streaming, cloud streaming technology, data driven operations, stream processing, stream processing software, streaming application"	"CloudTech & DevOps, SaaS"	54.9	54.9						06-Jan-2023	Merger/Acquisition	Confluent(Edward Jay Kreps)	Software Development Applications	"Berlin, Germany"	
180292-15T	Immix Biopharma (NAS: IMMX)	2012		21.75	17-Sep-2021	"Biotechnology, Drug Discovery*"	Healthcare	Pharmaceuticals and Biotechnology			"biopharmaceutical organization, cancer therapy developer, cell therapy, clinical research, engineers antibodies, immune cells, stem cell, stem cell biology, stem cell service"	"Life Sciences, Oncology"	21	37.88	-2.21	-17.1	0		-2.39	16-Dec-2021	IPO		Drug Discovery	"Los Angeles, CA"	
275599-09T	ImmPACT Bio	2017		157.86	24-Oct-2024	"Biotechnology, Drug Discovery*"	Healthcare	Pharmaceuticals and Biotechnology		93.73	"cancer drug therapy, cancer therapy, car-t cell therapy, cell therapy, cell therapy drugs, cell therapy process, chimeric antigens receptor, immune cells, therapy drugs"	"Life Sciences, Oncology"	93.73	93.73						31-Oct-2024	Merger/Acquisition	Lyell Immunopharma (NAS: LYEL)	Drug Discovery	"West Hills, CA"	
176221-54T	Immuneering (NAS: IMRX)	2008		194.5	09-Jul-2021	"Biotechnology, Discovery Tools (Healthcare), Drug Discovery*"	Healthcare	Pharmaceuticals and Biotechnology			"bioinformatics data, chemistry, computational biology, computational biology techniques, drug discovery, genetic data, proteomics data, small molecule"	"Life Sciences, Oncology"	112.5	365.84	-24.35	-15.03	2.76	132.75	-24.45	30-Jul-2021	IPO		Drug Discovery	"Cambridge, MA"	
226481-68T	Immunetrics	2001		13.1		"Biotechnology, Discovery Tools (Healthcare)*"	Healthcare	Pharmaceuticals and Biotechnology		23.5	"autoimmune product, biological model, biological response, clinical data, modeling service, quantitative systems pharmacology"	"HealthTech, Life Sciences"	23.5	23.5						16-Jun-2023	Merger/Acquisition	Simulations Plus (NAS: SLP)(Shawn O'Connor)	Discovery Tools (Healthcare)	"Pittsburgh, PA"	
163971-82T	ImmunityBio (NAS: IBRX)	2014		301.59	21-Dec-2020	"Biotechnology, Drug Discovery*"	Healthcare	Pharmaceuticals and Biotechnology	NantKwest		"autoimmune disease, biotechnology company, biotechnology company developer, biotechnology company operator, cancer analysis, cancer treatment system, cancer vaccine development"	"Life Sciences, Oncology"	2800		-205.95		0.61		-221.85	08-Mar-2021	Reverse Merger	NantKwest(Richard Adcock)	Drug Discovery	"San Diego, CA"	
247936-15T	ImmunogenX	2013		5	18-Dec-2023	"Biotechnology, Drug Discovery*"	Healthcare	Pharmaceuticals and Biotechnology		60.09	"biotherapeutics drugs, biotherapeutics service, biotherapeutics treatment, celiac disease, digestive enzymes, disease research"	Life Sciences	60.09	60.09						13-Mar-2024	Merger/Acquisition	Grid AI (NAS: GRDX)(Jack Syage)	Drug Discovery	"Newport Beach, CA"	
182427-85T	iMotions	2005	63	8.01	26-Oct-2021	"Business/Productivity Software*, Media and Information Services (B2B)"	Information Technology	Software		50.94	"human behavior analysis, human behavior measuring, human behavior research, human behavioral analysis software, human behaviour analysis, human behaviour survey"	"SaaS, TMT"	51.15	51.15	0.75	67.85			-0.02	25-Nov-2021	Merger/Acquisition	Smart Eye (STO: SEYE)(Martin Krantz)	Business/Productivity Software	"Copenhagen, Denmark"	
184995-28T	IMOTO Photo	2012				Media and Information Services (B2B)*	Business Products and Services (B2B)	Commercial Services		6.34	"crm, customer relationship management, floor plans service, marketing campaign, media design, property photography services, property selling, real estate videography"	"Real Estate Technology, SaaS"	6.34	6.34						10-Dec-2021	Merger/Acquisition	Urbanimmersive (OTCM: UBMRF)	Media and Information Services (B2B)	"New Orleans, LA"	
242267-23T	Implanet (PAR: ALIMP)	2007		67.73	28-Sep-2023	Therapeutic Devices*	Healthcare	Healthcare Devices and Supplies		17.61	"arthroscopy surgery, implants product, orthopaedic, orthopedic design, spinal fusion surgery, spine surgery, surgical implants"	"Industrials, Life Sciences, Manufacturing"	5.99	17.88	-6.11	-2.93	8.06	2.22	-7.22	02-Feb-2024	Merger/Acquisition	Shanghai Sanyou Medical (SHG: 688085)(Mingyan Liu)	Therapeutic Devices	"Martillac, France"	
246259-54T	Imprint Energy	2010		24.17		Electrical Equipment*	Business Products and Services (B2B)	Commercial Products		26.6	"asset tracking solutions, battery developer, battery storage, battery technology, grid infrastructure, iot hardware, iot sensors, rechargeable battery industry"	"CleanTech, Climate Tech, Internet of Things, LOHAS & Wellness, Manufacturing, TMT"	26.6	26.6						29-Aug-2023	Merger/Acquisition	CCL Industries (TSE: CCL.A)	Electrical Equipment	"Alameda, CA"	
193482-28T	In2Bones	2011		13.89	04-May-2022	"Surgical Devices, Therapeutic Devices*"	Healthcare	Healthcare Devices and Supplies		145.2	"bone graft, bone support, medical device, orthopaedic device, orthopedic care, orthopedic surgeon, osteosynthesis screws, snap off screws, surgical equipment"	Manufacturing	145.2	145.2						13-Jun-2022	Merger/Acquisition	Conmed (NYS: CNMD)(Curt Hartman)	Therapeutic Devices	"Memphis, TN"	
157790-17T	IN8bio (NAS: INAB)	2016		75.03	16-Oct-2020	"Biotechnology*, Drug Discovery"	Healthcare	Pharmaceuticals and Biotechnology			"cancer therapy, cancer tumors resection, cell therapy, immunotherapy platform, immunotherapy technology, t-cell development"		40	187.55	-9.01	-20.82	0		-9.41	30-Jul-2021	IPO		Biotechnology	"New York, NY"	
281366-74T	Inari Medical	2011		371.24	06-Jan-2025	Surgical Devices*	Healthcare	Healthcare Devices and Supplies		4596.03	"interventional treatment, mechanical thrombectomy technology, medical device and equipment, medical treatment, thrombolytic therapy, vascular embolization, venous thromboembolism"	"HealthTech, Life Sciences"	4707.57	4707.57	-40.95	-114.96	574.5	8.19	-78.58	19-Feb-2025	Merger/Acquisition	Stryker (NYS: SYK)(Kevin Lobo)	Surgical Devices	"Irvine, CA"	
166942-27T	Inception Exploration	2011		3.26		Energy Exploration*	Energy	"Exploration, Production and Refining"		117.38	"oil and gas exploration service, oil extraction service, petroleum extraction service"		117.38	117.38						18-Mar-2021	Merger/Acquisition	Spartan Delta (TSE: SDE)(Fotis Kalantzis)	Energy Exploration	"Calgary, Canada"	
